id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18607711,Best House Center - with Garage Parking,125993675,Maria,PORTO,Lordelo do Ouro e Massarelos,41.15316,-8.63001,Entire home/apt,95,1,57,2019-12-30,1.13,2,39
18607822,Oporto Apartment( very close to metro),91073596,Sofia,PORTO,Paranhos,41.17507,-8.60132,Entire home/apt,50,2,11,2018-07-23,0.23,1,0
18607910,Quarto privado em condominio fechado,128530941,Helena,VILA DO CONDE,Labruge,41.27287,-8.72627,Private room,40,3,1,2018-11-20,0.03,3,228
18615392,Cosy house MIRAGAIA in Lapa,129307486,Tiago,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15861,-8.61449,Entire home/apt,60,1,0,,,5,263
18615513,Porto Viewpoint Apartment (free parking),26250649,Maria,PORTO,Bonfim,41.15238,-8.60011,Entire home/apt,88,2,91,2019-04-03,1.83,1,114
18615560,Cosy house VITORIA in Lapa,129307486,Tiago,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15983,-8.61287,Entire home/apt,60,2,5,2019-08-16,0.11,5,263
18615604,BCharming - Lovely apartment for 8 people,17753365,Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16143,-8.61999,Entire home/apt,73,2,9,2019-09-21,0.23,9,358
18615636,CASA S.NICOLAU 185,129307486,Tiago,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15856,-8.61385,Entire home/apt,60,2,7,2018-04-22,0.14,5,358
18628744,Porto Island 4 (house and terrace w/barbecue),129419320,Sofia,PORTO,Lordelo do Ouro e Massarelos,41.15968,-8.64272,Entire home/apt,35,3,63,2020-03-13,1.31,3,355
18629434,Porto Island 2 (house and terrace w/barbecue),129419320,Sofia,PORTO,Lordelo do Ouro e Massarelos,41.15949,-8.64256,Entire home/apt,35,3,33,2021-07-02,0.66,3,362
18630075,BRA.com Campanhã 002,40592098,Bárbara,PORTO,Bonfim,41.15099,-8.5907,Entire home/apt,70,2,0,,,24,168
18630355,BRA.com Campanhã 003,40592098,Bárbara,PORTO,Bonfim,41.15099,-8.5907,Entire home/apt,60,2,9,2019-05-10,0.19,24,166
18630426,Baixa24 - Downtown Bliss w/ Amazing Natural Light,252729505,Alex,PORTO,Bonfim,41.14834,-8.598,Entire home/apt,200,1,70,2019-11-02,1.42,18,124
18631710,Porto Island 3 (house and terrace w/barbecue),129419320,Sofia,PORTO,Lordelo do Ouro e Massarelos,41.15827,-8.6433,Entire home/apt,35,3,52,2020-02-11,1.03,3,360
18636741,"Big Room, Garden
Aeroporto
Peregrinos Santiago",129485832,Vanessa,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.2036,-8.64611,Private room,20,1,57,2019-05-25,1.19,2,282
18643056,BRA.com Campanhã 101,40592098,Bárbara,PORTO,Bonfim,41.15099,-8.5907,Entire home/apt,70,2,5,2018-04-24,0.10,24,170
18644981,Deco Studio Apartment,16922131,Bateira E Ferreira,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14967,-8.60745,Entire home/apt,68,1,3,2017-08-03,0.15,50,322
18645094,Sunny Cozy Bedroom Apartment w/ Private Rooftop.,23778206,Melissa,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18115,-8.68544,Entire home/apt,30,3,14,2019-08-08,0.28,1,0
18647613,3 BEDROOM APARTMENT CENTER OF PORTO,129571310,Daniel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14888,-8.60234,Entire home/apt,72,2,53,2019-10-14,1.10,1,344
18649268,Liiiving in Porto | Central Garden Flat,30907275,Liiiving,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1614,-8.60473,Entire home/apt,109,2,9,2020-03-19,0.19,74,299
18653620,Raca's place!,125142659,Raquel,VILA NOVA DE GAIA,Arcozelo,41.04312,-8.63013,Entire home/apt,75,5,7,2019-08-24,0.15,1,26
